Organization 1 has 5 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 62 has 1 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 5 sockets. They are running 18 virtual machines, with 13 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 63 has 1 low density subscriptions, 3 high density subscriptions, and 3 physical servers with a total of 5 sockets. They are running 42 virtual machines, with 13 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 64 has 7 low density subscriptions, 6 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 2 virtual machines, with 12 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 65 has 9 low density subscriptions, 8 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 16 virtual machines, with 14 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 66 has 9 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 11 virtual machines, with 16 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 67 has 3 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 9 sockets. They are running 35 virtual machines, with 13 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 68 has 6 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 3 sockets. They are running 9 virtual machines, with 6 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 69 has 7 low density subscriptions, 0 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 9 virtual machines, with 11 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 70 has 2 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 30 virtual machines, with 8 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 71 has 0 low density subscriptions, 7 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 22 virtual machines, with 6 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 72 has 3 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 42 virtual machines, with 19 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 73 has 5 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 2 sockets. They are running 20 virtual machines, with 14 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 74 has 9 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 41 virtual machines, with 14 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 75 has 4 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 5 sockets. They are running 19 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 76 has 4 low density subscriptions, 0 high density subscriptions, and 3 physical servers with a total of 5 sockets. They are running 4 virtual machines, with 11 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 77 has 6 low density subscriptions, 4 high density subscriptions, and 1 physical servers with a total of 8 sockets. They are running 46 virtual machines, with 2 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 78 has 4 low density subscriptions, 5 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 15 virtual machines, with 15 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 79 has 4 low density subscriptions, 7 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 33 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 80 has 3 low density subscriptions, 2 high density subscriptions, and 8 physical servers with a total of 8 sockets. They are running 0 virtual machines, with 5 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 81 has 4 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 47 virtual machines, with 10 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 82 has 4 low density subscriptions, 9 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 15 virtual machines, with 6 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 83 has 8 low density subscriptions, 7 high density subscriptions, and 4 physical servers with a total of 3 sockets. They are running 13 virtual machines, with 5 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 84 has 4 low density subscriptions, 5 high density subscriptions, and 3 physical servers with a total of 3 sockets. They are running 9 virtual machines, with 5 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 85 has 3 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 3 sockets. They are running 49 virtual machines, with 14 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 86 has 7 low density subscriptions, 4 high density subscriptions, and 8 physical servers with a total of 8 sockets. They are running 42 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 87 has 5 low density subscriptions, 9 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 10 virtual machines, with 11 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 88 has 5 low density subscriptions, 4 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 49 virtual machines, with 16 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 89 has 0 low density subscriptions, 0 high density subscriptions, and 5 physical servers with a total of 8 sockets. They are running 39 virtual machines, with 18 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 90 has 1 low density subscriptions, 2 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 34 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 91 has 5 low density subscriptions, 5 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 39 virtual machines, with 0 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 92 has 9 low density subscriptions, 5 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 48 virtual machines, with 2 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 93 has 3 low density subscriptions, 3 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 44 virtual machines, with 0 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 94 has 0 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 44 virtual machines, with 16 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 95 has 5 low density subscriptions, 0 high density subscriptions, and 5 physical servers with a total of 1 sockets. They are running 42 virtual machines, with 4 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 96 has 0 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 9 sockets. They are running 1 virtual machines, with 4 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 97 has 1 low density subscriptions, 9 high density subscriptions, and 6 physical servers with a total of 8 sockets. They are running 8 virtual machines, with 3 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 98 has 2 low density subscriptions, 9 high density subscriptions, and 2 physical servers with a total of 3 sockets. They are running 0 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 99 has 4 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 11 virtual machines, with 18 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 100 has 2 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 26 virtual machines, with 10 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 101 has 0 low density subscriptions, 0 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 30 virtual machines, with 16 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 102 has 3 low density subscriptions, 1 high density subscriptions, and 3 physical servers with a total of 6 sockets. They are running 43 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 103 has 2 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 5 sockets. They are running 42 virtual machines, with 15 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 104 has 0 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 19 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 105 has 7 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 3 sockets. They are running 21 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 106 has 5 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 47 virtual machines, with 13 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 107 has 9 low density subscriptions, 6 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 1 virtual machines, with 1 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 108 has 0 low density subscriptions, 4 high density subscriptions, and 5 physical servers with a total of 9 sockets. They are running 18 virtual machines, with 11 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 109 has 2 low density subscriptions, 2 high density subscriptions, and 7 physical servers with a total of 1 sockets. They are running 28 virtual machines, with 2 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 110 has 7 low density subscriptions, 3 high density subscriptions, and 9 physical servers with a total of 9 sockets. They are running 11 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 111 has 2 low density subscriptions, 6 high density subscriptions, and 1 physical servers with a total of 5 sockets. They are running 49 virtual machines, with 7 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 112 has 9 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 39 virtual machines, with 1 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 113 has 2 low density subscriptions, 3 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 9 virtual machines, with 3 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 114 has 3 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 24 virtual machines, with 18 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 115 has 3 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 5 sockets. They are running 4 virtual machines, with 14 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 116 has 2 low density subscriptions, 3 high density subscriptions, and 1 physical servers with a total of 3 sockets. They are running 26 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 117 has 3 low density subscriptions, 3 high density subscriptions, and 7 physical servers with a total of 5 sockets. They are running 43 virtual machines, with 1 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 118 has 4 low density subscriptions, 1 high density subscriptions, and 8 physical servers with a total of 6 sockets. They are running 21 virtual machines, with 10 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 119 has 1 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 8 sockets. They are running 14 virtual machines, with 15 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 120 has 2 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 3 sockets. They are running 29 virtual machines, with 15 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 121 has 9 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 1 virtual machines, with 9 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 122 has 1 low density subscriptions, 4 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 14 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 123 has 4 low density subscriptions, 8 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 0 virtual machines, with 6 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 124 has 6 low density subscriptions, 5 high density subscriptions, and 5 physical servers with a total of 2 sockets. They are running 15 virtual machines, with 0 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 125 has 8 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 7 sockets. They are running 33 virtual machines, with 6 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 126 has 2 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 6 sockets. They are running 32 virtual machines, with 14 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 127 has 3 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 1 sockets. They are running 37 virtual machines, with 6 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 128 has 0 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 8 sockets. They are running 5 virtual machines, with 1 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 129 has 0 low density subscriptions, 0 high density subscriptions, and 2 physical servers with a total of 8 sockets. They are running 30 virtual machines, with 14 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 130 has 6 low density subscriptions, 0 high density subscriptions, and 5 physical servers with a total of 6 sockets. They are running 41 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 131 has 0 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 2 sockets. They are running 47 virtual machines, with 0 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 132 has 6 low density subscriptions, 2 high density subscriptions, and 5 physical servers with a total of 1 sockets. They are running 9 virtual machines, with 14 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 133 has 3 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 7 virtual machines, with 7 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 134 has 3 low density subscriptions, 2 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 30 virtual machines, with 17 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 135 has 8 low density subscriptions, 2 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 21 virtual machines, with 7 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 136 has 8 low density subscriptions, 3 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 30 virtual machines, with 1 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 137 has 8 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 2 sockets. They are running 41 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 138 has 2 low density subscriptions, 7 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 8 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 139 has 3 low density subscriptions, 5 high density subscriptions, and 3 physical servers with a total of 9 sockets. They are running 1 virtual machines, with 6 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 140 has 2 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 45 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 141 has 0 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 21 virtual machines, with 12 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 142 has 8 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 1 sockets. They are running 8 virtual machines, with 9 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 143 has 8 low density subscriptions, 0 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 45 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 144 has 3 low density subscriptions, 1 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 49 virtual machines, with 9 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
